_derivationally_related_form|-0.49228555,0.51863164,0.50561804,0.51695555,0.39854985,-0.51726264,0.47280395,-0.31117472,0.42230272,-0.50559443,-0.50882334,0.56419593,-0.46729624,0.42746812,-0.47390077,0.52993566,0.4868674,-0.4104952,0.49943218,-0.5317828,-0.49059412,-0.46643007,-0.5209574,0.5343141,-0.53682274,0.48669735,0.46546823,0.47241202,-0.29317072,0.4591592,0.45219824,0.54976267,0.52298504,-0.42399397,0.48856467,-0.4862354,0.4879949,-0.34662378,0.48740426,-0.46497142,0.44020584,-0.5301155,0.46574846,-0.49322864,-0.21024196,-0.5080331,0.37867308,0.49084467,-0.4216709,0.44297218,0.4986569,0.4841823,0.5322925,-0.52134293,0.48877993,-0.5088653,0.50198096,0.4367842,0.54474497,-0.43202147,0.4958623,-0.48464856,-0.4838117,-0.36017963,0.4299496,0.436777,-0.4428928,-0.48277524,-0.47216853,0.41570917,-0.44371822,0.5129147,0.5410347,0.5100486,-0.49055883,0.4994816,0.5377421,-0.40038857,-0.46301478,-0.51927257,-0.45939362,-0.4641017,-0.48126742,0.47616464,0.51526386,-0.4671645,0.47430527,0.4231222,0.4231194,-0.53767824,-0.48444068,-0.48119992,-0.533808,-0.43771195,-0.48899904,-0.5177255,0.39325306,0.50738007,-0.498767,0.49871716,0.46841434,-0.44966134,-0.49167436,0.4686433,0.5132175,-0.53585875,0.39215785,0.47990412,0.44843206,-0.55782753,-0.5001201,-0.45078394,-0.49350026,-0.5282614,-0.51241213,-0.47372833,0.50671434,0.48279357,-0.46637678,0.5113664,0.44227877,-0.40938023,0.46743745,0.45044148,-0.48640382,0.4542708,0.44250208,0.53142804
_similar_to|0.08556699,0.05189086,0.007317244,0.022406748,0.013326824,0.077255435,-0.012827024,0.10134883,0.015387931,0.03808599,0.06677562,-0.11956218,-0.0011924187,-0.011117786,0.1382115,-0.064891025,0.069644764,0.012701521,-0.047807466,-0.027146095,-0.04728524,-0.0543544,-0.08343846,0.051792234,0.09079468,0.067881234,0.045349173,-0.067108564,0.08749039,-0.09025887,0.059907116,0.041831035,0.06478485,-0.034975234,-0.008598843,0.00071974593,0.026274653,0.08129549,0.0258189,0.06545866,-0.09309557,0.040340528,0.008951487,-0.026937673,-0.07411542,-0.058999494,-0.05684703,0.021365432,-0.062301885,-0.040329408,0.06790529,0.05160983,-0.110822216,0.08999089,-0.10043002,-0.04477169,0.039442405,0.022829674,-0.057035238,0.033871483,0.070604,-0.095005825,0.058411215,0.007358399,0.002326412,-0.046173066,-0.04622959,0.06089821,-0.05665611,-0.09114393,-0.02852369,0.060768474,0.03683652,0.03349055,-0.07290113,-0.012634613,-0.09941385,-0.086432315,-0.0057083154,0.02167583,-0.03870831,0.06865922,0.0022728166,0.07559449,-0.07454361,-0.029963689,0.0032031788,2.3135624e-05,-0.085259244,-0.022373639,-0.055333253,0.08516575,-0.09152583,0.047083944,0.03496753,0.06837454,0.043693256,-0.011142161,0.06650647,-0.03919456,-0.081817664,-0.07759024,0.09247272,0.005734638,0.100462005,-0.020571345,0.016740728,-0.025813354,0.010630107,0.027479626,0.07612122,-0.05067454,-0.032764647,0.05890997,0.035155494,0.08699077,0.07619155,-0.022533787,-0.02742095,-0.11156669,0.036269385,0.07080254,-0.03990852,0.06338789,0.07340459,0.07890989,0.03957711,0.075452596
_also_see|-0.091168776,0.08880541,-0.15767069,-0.09519074,-0.0976051,0.13154998,-0.09420916,0.102064446,-0.10151836,-0.018663496,0.049543533,0.10421883,-0.106436536,-0.015899953,-0.096196435,0.07920106,0.07872781,-0.14289978,0.09043929,0.08469044,0.109940045,0.10878713,0.107578255,0.047625843,0.0358512,0.09442035,0.11699457,0.08686712,0.17561376,-0.037397847,0.09461033,-0.07061897,-0.1301843,-0.12277887,0.098396465,0.13874088,-0.10303198,0.083410926,0.2118097,0.050087083,0.07453459,-0.124852866,-0.12394221,0.13904041,-0.021392863,-0.07890925,0.09257487,0.118671454,-0.03907753,0.055023998,-0.09002498,0.01211437,0.13519864,0.044813793,-0.09895414,0.08400811,-0.051961277,0.10217291,0.05902342,0.12901883,-0.05406986,0.08651847,-0.104693055,-0.10916098,-0.083009824,-0.088331774,0.13609897,-0.11884678,-0.09998718,-0.09779409,-0.08893907,0.11143157,0.06878805,0.07564862,-0.031703062,0.08870695,-0.11048648,0.029536925,0.05633355,-0.101011775,-0.07652174,0.084333956,-0.10455975,-0.19224623,-0.013860403,0.09294478,-0.055746656,-0.035824038,-0.1505098,-0.059258796,0.0998343,0.049349234,-0.1159767,-0.04516378,-0.14153126,-0.103892244,-0.13406198,0.11491868,-0.1062941,0.13867566,-0.11961786,0.06924171,0.09918209,-0.097385116,0.14839336,0.060632598,-0.0028962344,0.052419722,-0.0991622,0.040657073,0.14070752,0.055142168,-0.16709356,-0.15486404,-0.100011975,0.0810171,0.059267215,-0.09179878,0.07618585,0.07983661,-0.071334116,-0.065455236,0.11692683,-0.116057105,-0.10526481,-0.101458505,0.14266638,0.044233583
_member_meronym|-0.20579736,0.18362644,0.11274495,-0.18355411,0.1482158,0.0496497,0.14539288,0.11839402,-0.06414042,0.06878682,0.11418784,0.13701893,-0.07694116,0.12139065,-0.13374902,-0.11596501,-0.16871743,-0.19714914,-0.18557703,0.10692757,0.10684364,0.13786152,-0.12209041,-0.07267032,0.028495584,0.07670969,-0.14445464,-0.031985268,0.12251256,0.13358274,-0.10240583,-0.14219843,0.17939298,-0.20161517,-0.18794246,0.16971867,0.11824724,0.14397265,0.15998381,0.11051666,-0.11096311,-0.08521992,0.08906029,-0.057720907,0.09051785,-0.20995425,-0.15413158,-0.083775364,0.14097306,0.09128564,-0.07218305,-0.12710996,0.1656269,-0.09051232,0.19075881,0.07048847,-0.12502187,0.19384266,0.16887057,-0.19669256,-0.07402813,0.1165385,-0.082548864,-0.14676183,0.16769715,-0.1221285,-0.13347459,0.14460517,0.09529448,-0.15924636,-0.15249947,0.1063911,-0.106724806,0.14190854,0.16793144,0.02153132,-0.11198323,-0.1278779,0.11590332,-0.13475549,-0.15454975,-0.11767438,-0.059698835,-0.1331767,-0.14585507,-0.100525916,0.0659142,0.100494646,0.084589645,-0.08466057,-0.089728944,-0.06585688,-0.16524391,-0.22044504,-0.10322013,0.0863317,0.1664155,0.16498266,-0.057904888,0.13811742,0.13898039,-0.14735477,0.17405197,-0.057393644,-0.123847775,0.116774395,0.16655734,0.100470185,-0.120161265,0.06876899,0.17341088,0.14125392,0.08917504,0.13637143,0.1296877,0.12121702,0.123658314,0.095132075,0.12069368,-0.13212281,-0.18676011,0.064338244,-0.08663692,-0.14515166,-0.2143034,0.10847745,-0.18012062,-0.18359654
_hypernym|0.24709646,0.19710013,0.25468257,0.15973344,0.30027714,0.24933745,-0.25894645,-0.2680695,-0.1123668,0.2434968,-0.26416165,0.2103731,0.33868328,-0.26252165,0.22647728,0.2424653,0.22420186,-0.26473892,-0.16670533,0.24048533,0.2055044,0.25493565,-0.23228186,0.3011945,0.20223907,0.2581506,0.19843161,0.30027536,0.23329373,0.1210272,-0.2310186,-0.17668584,-0.19977276,0.22719869,0.2611598,-0.27157855,0.2535948,-0.29310316,-0.2164379,0.17234251,-0.2930565,-0.2147068,-0.2933677,-0.2620296,-0.28287902,0.23672947,-0.2747898,-0.30774084,-0.30027866,0.28765735,0.1556896,-0.1387132,-0.20126525,-0.21376613,0.23830158,-0.19751069,0.24358468,0.36513177,-0.2501797,-0.28478047,-0.13040313,0.24844241,-0.2902929,-0.20283684,-0.20840895,0.22600348,-0.24278453,-0.23832147,-0.2103727,-0.24987204,0.3156738,0.14522256,-0.2011882,-0.19185024,0.19302669,0.24159917,0.2524409,0.2765719,-0.25220796,-0.20992602,-0.24000797,-0.2332693,-0.23622909,0.02412046,0.16857952,0.24684359,-0.23559327,-0.320559,-0.2444,0.2478357,0.23296271,0.30710042,-0.17906784,0.22932842,0.23460719,-0.1747632,0.15214011,0.1576761,0.11751291,-0.2094338,-0.2594389,-0.19896926,0.11458185,0.26115903,0.15356375,0.28500023,0.32208607,-0.28212807,0.1421378,0.086776294,-0.19250518,-0.28876996,0.21763134,-0.18931928,0.17189543,-0.24001513,0.28942004,0.06999565,0.19787958,-0.2597486,-0.32399797,0.28179985,0.25035214,-0.22711316,-0.12159657,0.26647443,0.29695567,-0.26721388
_verb_group|-0.07641556,-0.08446203,0.20153716,0.06488859,0.17962493,0.1356793,-0.13586994,-0.086294666,-0.19120692,-0.121783815,-0.092485815,0.17221744,0.1739855,0.16371407,-0.10457644,0.16235085,0.17440383,-0.08673311,-0.107527815,0.107407354,-0.10081057,0.1393005,0.029020373,-0.039994754,-0.13162334,0.1174401,-0.1004203,0.11460059,-0.13865215,-0.07239716,0.04128731,0.14153326,-0.17648388,-0.052099716,-0.07817249,0.14435893,0.054926455,-0.008669999,-0.06974698,-0.103348054,0.10777056,-0.07081669,0.18549334,-0.14427714,-0.08655164,0.09296127,0.13522382,0.11799787,-0.13620734,0.049363732,0.0796127,-0.0074741207,0.12671602,-0.12549518,-0.07105261,0.09541983,0.10364726,0.040545568,0.08454985,0.06900493,0.08469426,0.10655323,0.17456158,0.16473123,0.0129784485,-0.16584384,-0.1089453,-0.11053608,0.103679255,0.11990323,-0.14661801,0.0778661,-0.16573068,-0.04591471,-0.11316251,0.1516476,-0.078031406,0.1861345,0.13684046,-0.13390662,0.17810597,0.16489494,0.10827272,0.13920745,0.08921372,-0.06336907,-0.102652684,-0.16524044,-0.07685336,-0.09241067,-0.14339848,0.04237633,0.15740179,0.010376848,0.048519596,-0.11518352,-0.16342618,-0.11116717,-0.047193553,0.14688267,0.19656295,-0.09900489,-0.14855653,-0.10489263,0.20536102,-0.09653116,0.091255784,-0.1427434,-0.04525486,-0.014336028,-0.0042504645,-0.054397617,0.0782115,0.04883115,-0.12574302,0.056172892,0.057569005,0.19721995,0.10094,-0.051392246,0.13397472,-0.10506936,-0.056425713,0.05506835,-0.13643822,-0.018176818,-0.011081303,0.17972606
_member_of_domain_usage|0.033948626,-0.0044772597,-0.036257695,-0.023395305,-0.078244716,0.024473697,0.0681029,-0.109010965,-0.13099498,0.036732294,-0.05288243,-0.06819845,-0.038351297,0.012345419,-0.04748875,-0.019088328,0.07224589,0.07232397,-0.039885983,0.044519767,0.009494183,-0.1868965,-0.054900907,-0.054945447,-0.08648127,0.00080671674,-0.07298117,-0.02290352,0.0773634,0.047405638,-0.048680127,-0.058049183,-0.056218237,-0.023939021,-0.014428825,0.049374167,0.15878129,0.14944042,0.0720841,-0.03405881,0.03154587,0.076735176,0.049666785,0.07429215,-0.057250448,0.07038055,-0.06336363,-0.006616219,0.025268042,-0.0021536953,0.08170214,-0.07462552,0.114319764,0.03166658,0.03802718,-0.037150558,0.056261912,-0.006376437,0.05298902,-0.10920407,-0.00052076805,0.023203718,-0.102745354,0.0071124746,-0.06869558,-0.032216076,0.03602806,-0.017742457,0.026774857,-0.09352023,-0.04439397,-0.0345609,0.087481834,-0.04495912,-0.06791036,-0.024440093,0.117907055,0.0029843706,0.011601058,-0.046303373,-0.04750839,0.09806008,0.08675108,0.03006975,-0.06476198,-0.05364372,0.078653306,0.038378313,0.029199382,0.017146794,-0.01929866,0.018743746,-0.07663929,-0.10528666,0.040625215,-0.09639682,-0.14188184,-0.0032458524,-0.005919412,0.08113992,-0.07671633,0.021015689,-0.036952112,-0.024968434,-0.08286765,0.030531857,-0.05839081,0.039340932,-0.083571896,0.0964718,-0.08682355,-0.06251432,0.03768807,0.054188967,-0.009561552,0.017681193,0.07471601,-0.045867648,-0.112455405,-0.07757696,-0.10748057,-0.013493141,0.04785424,-0.075765945,0.017705742,0.09019304,0.03126101,-0.018575616
_member_of_domain_region|0.03291206,0.037386395,0.045323685,0.06726742,0.04942343,0.035170615,-0.09242919,0.07914355,-0.008211659,0.07344628,0.023907827,-0.02991385,0.076994985,0.15137897,-0.040325735,0.058608,0.054256327,0.08910276,0.0077033998,-0.09121109,0.04102519,0.11112784,-0.024897484,0.018950118,-0.056115557,0.009500822,0.054699827,-0.053285077,0.05263395,-0.06185694,0.01417954,-0.057478573,-0.09266361,0.04984223,-0.037341833,-0.030193921,-0.08040542,-0.12663874,-0.016007395,-0.049713507,-0.0062339185,0.011344081,0.031454917,-0.09116106,0.07917388,0.02259735,-0.05246949,-0.007386927,0.0060061016,-0.052617993,-0.08547218,0.0629728,0.04129851,-0.018481895,0.0686531,-0.050941814,0.09853646,-0.039008934,0.06349967,0.06715239,-0.048907787,0.032997835,0.17150424,0.026832417,0.02928583,-0.004193929,0.04620378,-0.059547324,-0.09320629,-0.08844936,0.057903692,0.101958424,0.060743723,-0.031148156,0.098755755,0.04645628,0.01724617,-0.102571726,0.00653384,0.041639224,0.05086553,0.06629894,-0.033787783,0.035885923,0.07853325,0.06253195,-0.035952635,-0.090614714,0.05919731,-0.10387294,0.026908334,-0.07951055,0.10101638,-0.00043187628,-0.060464587,-0.05446199,-0.07754946,-0.07431423,-0.062563434,0.00754993,0.121295735,0.06679097,-0.038179938,-0.022506047,-0.032126166,-0.041414697,-0.03830122,-0.017803188,-0.05979161,0.065656506,-0.05150338,-0.100720875,0.103113115,0.021602582,0.079859145,0.066359445,-0.052389123,0.0272755,0.07026971,0.021364147,0.043631632,-0.092956625,-0.012785919,0.00933615,-0.038927983,-0.07505944,0.06617715,-0.07515691
_instance_hypernym|0.0734132,0.08922349,0.12703818,-0.054826755,0.03888488,-0.064571396,-0.017909218,0.107419804,-0.1631721,-0.10230996,0.13737899,0.108256355,0.08949987,0.07468288,-0.04823819,0.09051387,0.044609677,0.0024345806,0.040633425,0.059778016,0.109089404,-0.07446534,0.101976335,0.0132272765,-0.082082026,-0.09124373,0.11376636,-0.07309037,0.06815918,0.12280651,0.142121,-0.07603034,0.08821666,-0.008538724,-0.04559555,0.062910795,-0.09848799,-0.015476921,0.05800091,0.10171994,-0.04838982,-0.04948148,0.009697476,-0.06769032,0.022556644,-0.02866457,-0.15455006,-0.14878331,-0.08852045,-0.0941189,-0.11732696,0.08990831,0.14061134,-0.014146053,-0.102310635,0.1653259,0.05367408,0.085531645,0.07730054,0.13948382,-0.13700739,-0.10501777,-0.15570055,-0.0913391,-0.017987499,-0.03255408,0.08332877,0.15709442,-0.12421469,-0.039997377,-0.03468706,-0.13178627,0.004389064,0.08028261,-0.09188896,-0.121955305,-0.02237505,-0.058194734,-0.106297664,-0.08362301,0.07536134,-0.021090845,0.031714227,0.033072192,-0.11716386,-0.06049269,0.099776685,-0.12992552,0.0015610111,0.0006291446,0.08189723,0.0713696,-0.053590275,-0.059234127,-0.097707205,0.1080627,-0.09290979,-0.12147723,0.06859308,0.033326928,-0.045253545,0.048053745,-0.09918265,-0.039948247,0.024045464,0.10269034,-0.102057055,0.02189811,-0.05643632,0.0054842005,-0.047356665,0.052296616,-0.069959074,0.052555732,-0.11786301,0.08846462,0.0779975,0.11351935,0.04253952,0.031616617,-0.07208434,-0.08749409,-0.106691055,-0.0396817,-0.053901665,-0.016773548,0.118667506,0.07938439
_has_part|-0.10740937,0.093236424,0.104570545,-0.13791548,-0.106067955,0.0033708655,0.05570912,-0.14029641,-0.14357366,0.10030188,0.05174384,0.10280361,0.030081602,-0.091014914,0.13076535,0.10424316,-0.14007993,0.064111225,0.1731664,0.12783545,0.12414481,0.1162841,-0.021268815,0.13819438,0.0048448923,-0.11713256,0.14227939,-0.07880182,0.12519687,0.15277521,-0.097412094,-0.08130458,-0.08971074,0.123862065,0.12032439,0.12217098,0.043640766,-0.15946172,0.050870966,0.09224165,-0.037935484,0.11158526,0.06209895,-0.057382755,-0.14681737,0.15083611,0.12590925,-0.08952596,0.04265452,0.068188004,-0.14629558,-0.14290603,0.008534452,0.075754166,0.045713797,-0.09447665,0.091082625,-0.10266255,-0.09731691,0.08181408,-0.12275991,0.096721075,-0.10261644,-0.0906925,-0.105763435,0.02421262,0.118118174,-0.08068272,0.15242018,-0.07743884,-0.12778957,-0.18324202,-0.08363491,0.119771056,-0.1341727,0.0108319875,-0.08020975,0.106634766,-0.0974098,-0.051448144,0.12150158,-0.109377585,0.067797184,-0.09085484,0.093139134,0.14645459,0.13323362,0.08009403,0.07645475,0.05559421,0.178066,-0.18226014,0.03808454,-0.08114319,-0.113053486,0.15806164,-0.025761208,0.08108916,-0.12712224,0.15179726,0.03545204,0.07591588,-0.12375702,0.16147783,-0.09245533,-0.10734604,-0.10794218,0.12624505,-0.08780352,0.14766653,-0.009034504,-0.14835055,0.038181335,-0.06556079,0.038456634,0.08339136,-0.04688911,-0.08908507,-0.076937124,-0.05993376,-0.03320154,0.08411438,-0.10535631,-0.1436455,0.027268091,-0.03313162,0.11878624,0.12232572
